RUN	pokemonapi.RefulTask	refultask	1720828363966	 	3.11.3
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828380709
ERROR	GET task: No attribute named 'thiis' is defined 	1720828380709
USER	Task API Test	END	1720828380709
USER	Task API Test	START	1720828380710
REQUEST		POST task	1720828380590	1720828380894	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828380894
ERROR	GET task: No attribute named 'thiis' is defined 	1720828380894
USER	Task API Test	END	1720828380895
USER	Task API Test	START	1720828380895
REQUEST		POST task	1720828380597	1720828380896	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828380897
ERROR	GET task: No attribute named 'thiis' is defined 	1720828380897
USER	Task API Test	END	1720828380897
USER	Task API Test	START	1720828380898
REQUEST		POST task	1720828380640	1720828380951	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828380952
ERROR	GET task: No attribute named 'thiis' is defined 	1720828380952
USER	Task API Test	END	1720828380952
USER	Task API Test	START	1720828380953
REQUEST		POST task	1720828380656	1720828380967	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828380968
ERROR	GET task: No attribute named 'thiis' is defined 	1720828380968
USER	Task API Test	END	1720828380968
USER	Task API Test	START	1720828380968
REQUEST		POST task	1720828380678	1720828380986	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828380987
ERROR	GET task: No attribute named 'thiis' is defined 	1720828380987
USER	Task API Test	END	1720828380988
USER	Task API Test	START	1720828380988
REQUEST		POST task	1720828380710	1720828381003	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381004
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381004
USER	Task API Test	END	1720828381004
USER	Task API Test	START	1720828381005
REQUEST		POST task	1720828380114	1720828381068	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381069
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381069
USER	Task API Test	END	1720828381069
USER	Task API Test	START	1720828381070
REQUEST		POST task	1720828380122	1720828381137	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381137
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381138
USER	Task API Test	END	1720828381138
USER	Task API Test	START	1720828381138
REQUEST		POST task	1720828380895	1720828381195	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381196
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381196
USER	Task API Test	END	1720828381196
USER	Task API Test	START	1720828381207
REQUEST		POST task	1720828380968	1720828381274	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381275
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381275
USER	Task API Test	END	1720828381275
USER	Task API Test	START	1720828381276
REQUEST		POST task	1720828380988	1720828381308	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381309
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381309
USER	Task API Test	END	1720828381309
USER	Task API Test	START	1720828381310
REQUEST		POST task	1720828381004	1720828381312	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381313
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381313
USER	Task API Test	END	1720828381313
USER	Task API Test	START	1720828381313
REQUEST		POST task	1720828380436	1720828381375	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381376
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381376
USER	Task API Test	END	1720828381376
USER	Task API Test	START	1720828381377
REQUEST		POST task	1720828380406	1720828381429	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381430
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381430
USER	Task API Test	END	1720828381430
USER	Task API Test	START	1720828381430
REQUEST		POST task	1720828381138	1720828381461	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381462
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381462
USER	Task API Test	END	1720828381462
USER	Task API Test	START	1720828381463
REQUEST		POST task	1720828381207	1720828381491	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381491
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381491
USER	Task API Test	END	1720828381492
USER	Task API Test	START	1720828381492
REQUEST		POST task	1720828381309	1720828381599	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381600
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381600
USER	Task API Test	END	1720828381601
USER	Task API Test	START	1720828381601
REQUEST		POST task	1720828381313	1720828381604	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381605
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381605
USER	Task API Test	END	1720828381605
USER	Task API Test	START	1720828381605
REQUEST		POST task	1720828381376	1720828381673	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381674
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381674
USER	Task API Test	END	1720828381674
USER	Task API Test	START	1720828381675
REQUEST		POST task	1720828381430	1720828381744	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381745
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381745
USER	Task API Test	END	1720828381745
USER	Task API Test	START	1720828381745
REQUEST		POST task	1720828381463	1720828381767	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381768
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381768
USER	Task API Test	END	1720828381768
USER	Task API Test	START	1720828381769
REQUEST		POST task	1720828381492	1720828381793	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381794
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381794
USER	Task API Test	END	1720828381794
USER	Task API Test	START	1720828381794
REQUEST		POST task	1720828381605	1720828381887	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381887
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381887
USER	Task API Test	END	1720828381887
USER	Task API Test	START	1720828381888
REQUEST		POST task	1720828380952	1720828381897	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381898
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381898
USER	Task API Test	END	1720828381898
USER	Task API Test	START	1720828381898
REQUEST		POST task	1720828380897	1720828381900	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381901
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381901
USER	Task API Test	END	1720828381901
USER	Task API Test	START	1720828381901
REQUEST		POST task	1720828381601	1720828381912	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381913
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381913
USER	Task API Test	END	1720828381913
USER	Task API Test	START	1720828381914
REQUEST		POST task	1720828381675	1720828381978	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828381978
ERROR	GET task: No attribute named 'thiis' is defined 	1720828381978
USER	Task API Test	END	1720828381979
USER	Task API Test	START	1720828381979
REQUEST		POST task	1720828381745	1720828382038	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382039
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382039
USER	Task API Test	END	1720828382039
USER	Task API Test	START	1720828382039
REQUEST		POST task	1720828381070	1720828382094	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382094
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382094
USER	Task API Test	END	1720828382095
USER	Task API Test	START	1720828382095
REQUEST		POST task	1720828381888	1720828382177	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382178
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382178
USER	Task API Test	END	1720828382178
USER	Task API Test	START	1720828382178
REQUEST		POST task	1720828381901	1720828382198	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382198
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382198
USER	Task API Test	END	1720828382199
USER	Task API Test	START	1720828382199
REQUEST		POST task	1720828381275	1720828382203	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382204
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382204
USER	Task API Test	END	1720828382204
USER	Task API Test	START	1720828382204
REQUEST		POST task	1720828382039	1720828382324	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382325
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382325
USER	Task API Test	END	1720828382325
USER	Task API Test	START	1720828382326
REQUEST		POST task	1720828382095	1720828382407	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382407
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382407
USER	Task API Test	END	1720828382408
USER	Task API Test	START	1720828382408
REQUEST		POST task	1720828382199	1720828382493	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382494
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382494
USER	Task API Test	END	1720828382494
USER	Task API Test	START	1720828382494
REQUEST		POST task	1720828382204	1720828382518	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382519
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382519
USER	Task API Test	END	1720828382519
USER	Task API Test	START	1720828382520
REQUEST		POST task	1720828382326	1720828382636	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382636
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382636
USER	Task API Test	END	1720828382637
USER	Task API Test	START	1720828382637
REQUEST		POST task	1720828381769	1720828382784	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382785
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382785
USER	Task API Test	END	1720828382785
USER	Task API Test	START	1720828382786
REQUEST		POST task	1720828382494	1720828382795	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382795
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382795
USER	Task API Test	END	1720828382796
USER	Task API Test	START	1720828382796
REQUEST		POST task	1720828381794	1720828382804	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382804
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382804
USER	Task API Test	END	1720828382805
USER	Task API Test	START	1720828382805
REQUEST		POST task	1720828382520	1720828382840	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382841
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382841
USER	Task API Test	END	1720828382841
USER	Task API Test	START	1720828382842
REQUEST		POST task	1720828381898	1720828382868	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382868
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382868
USER	Task API Test	END	1720828382869
USER	Task API Test	START	1720828382869
REQUEST		POST task	1720828381913	1720828382909	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382910
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382910
USER	Task API Test	END	1720828382910
USER	Task API Test	START	1720828382911
REQUEST		POST task	1720828381979	1720828382976	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828382977
ERROR	GET task: No attribute named 'thiis' is defined 	1720828382977
USER	Task API Test	END	1720828382977
USER	Task API Test	START	1720828382977
REQUEST		POST task	1720828382805	1720828383090	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383090
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383091
USER	Task API Test	END	1720828383091
USER	Task API Test	START	1720828383091
REQUEST		POST task	1720828382178	1720828383095	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383096
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383096
USER	Task API Test	END	1720828383096
USER	Task API Test	START	1720828383096
REQUEST		POST task	1720828382841	1720828383173	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383173
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383173
REQUEST		POST task	1720828382869	1720828383173	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383174
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383174
USER	Task API Test	END	1720828383174
USER	Task API Test	END	1720828383174
USER	Task API Test	START	1720828383175
USER	Task API Test	START	1720828383175
REQUEST		POST task	1720828382977	1720828383278	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383278
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383278
USER	Task API Test	END	1720828383279
USER	Task API Test	START	1720828383279
REQUEST		POST task	1720828383091	1720828383394	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383395
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383395
USER	Task API Test	END	1720828383395
USER	Task API Test	START	1720828383396
REQUEST		POST task	1720828382408	1720828383403	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383403
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383403
USER	Task API Test	END	1720828383404
USER	Task API Test	START	1720828383404
REQUEST		POST task	1720828383175	1720828383479	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383480
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383480
USER	Task API Test	END	1720828383480
USER	Task API Test	START	1720828383481
REQUEST		POST task	1720828383174	1720828383481	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383481
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383482
USER	Task API Test	END	1720828383482
USER	Task API Test	START	1720828383482
REQUEST		POST task	1720828383279	1720828383574	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383574
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383574
USER	Task API Test	END	1720828383575
USER	Task API Test	START	1720828383576
REQUEST		POST task	1720828382637	1720828383603	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383603
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383603
USER	Task API Test	END	1720828383604
USER	Task API Test	START	1720828383604
REQUEST		POST task	1720828383395	1720828383678	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383678
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383678
USER	Task API Test	END	1720828383679
USER	Task API Test	START	1720828383679
REQUEST		POST task	1720828383404	1720828383712	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383713
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383713
USER	Task API Test	END	1720828383713
USER	Task API Test	START	1720828383714
REQUEST		POST task	1720828383482	1720828383780	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383781
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383781
USER	Task API Test	END	1720828383781
USER	Task API Test	START	1720828383782
REQUEST		POST task	1720828383480	1720828383786	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383786
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383787
USER	Task API Test	END	1720828383787
USER	Task API Test	START	1720828383787
REQUEST		POST task	1720828382796	1720828383787	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383788
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383788
USER	Task API Test	END	1720828383788
USER	Task API Test	START	1720828383788
REQUEST		POST task	1720828382785	1720828383792	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383793
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383793
USER	Task API Test	END	1720828383793
USER	Task API Test	START	1720828383793
REQUEST		POST task	1720828382911	1720828383937	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383937
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383937
USER	Task API Test	END	1720828383937
USER	Task API Test	START	1720828383938
REQUEST		POST task	1720828383604	1720828383969	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383969
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383969
USER	Task API Test	END	1720828383970
USER	Task API Test	START	1720828383971
REQUEST		POST task	1720828383679	1720828383982	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828383982
ERROR	GET task: No attribute named 'thiis' is defined 	1720828383982
USER	Task API Test	END	1720828383982
USER	Task API Test	START	1720828383983
REQUEST		POST task	1720828383714	1720828384016	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384017
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384017
USER	Task API Test	END	1720828384017
USER	Task API Test	START	1720828384017
REQUEST		POST task	1720828383782	1720828384070	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384071
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384071
USER	Task API Test	END	1720828384071
USER	Task API Test	START	1720828384071
REQUEST		POST task	1720828383096	1720828384089	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384089
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384089
USER	Task API Test	END	1720828384090
USER	Task API Test	START	1720828384091
REQUEST		POST task	1720828383793	1720828384097	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384098
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384098
REQUEST		POST task	1720828383787	1720828384097	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384098
USER	Task API Test	END	1720828384098
USER	Task API Test	START	1720828384098
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384099
USER	Task API Test	END	1720828384099
USER	Task API Test	START	1720828384099
REQUEST		POST task	1720828383938	1720828384236	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384237
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384237
USER	Task API Test	END	1720828384237
USER	Task API Test	START	1720828384238
REQUEST		POST task	1720828383970	1720828384286	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384286
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384286
USER	Task API Test	END	1720828384287
USER	Task API Test	START	1720828384287
REQUEST		POST task	1720828383983	1720828384290	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384291
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384291
USER	Task API Test	END	1720828384291
USER	Task API Test	START	1720828384291
REQUEST		POST task	1720828384099	1720828384406	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384406
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384406
USER	Task API Test	END	1720828384407
USER	Task API Test	START	1720828384407
REQUEST		POST task	1720828383575	1720828384527	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384528
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384528
USER	Task API Test	END	1720828384528
USER	Task API Test	START	1720828384529
REQUEST		POST task	1720828384291	1720828384598	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384598
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384598
USER	Task API Test	END	1720828384599
USER	Task API Test	START	1720828384599
REQUEST		POST task	1720828384287	1720828384604	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384604
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384604
USER	Task API Test	END	1720828384604
USER	Task API Test	START	1720828384605
REQUEST		POST task	1720828383788	1720828384712	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384713
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384713
USER	Task API Test	END	1720828384713
USER	Task API Test	START	1720828384714
REQUEST		POST task	1720828384407	1720828384718	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384719
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384719
USER	Task API Test	END	1720828384719
USER	Task API Test	START	1720828384720
REQUEST		POST task	1720828384528	1720828384825	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384826
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384826
USER	Task API Test	END	1720828384826
USER	Task API Test	START	1720828384827
REQUEST		POST task	1720828384599	1720828384888	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384889
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384889
USER	Task API Test	END	1720828384889
USER	Task API Test	START	1720828384889
REQUEST		POST task	1720828384604	1720828384905	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828384906
ERROR	GET task: No attribute named 'thiis' is defined 	1720828384906
USER	Task API Test	END	1720828384906
USER	Task API Test	START	1720828384907
REQUEST		POST task	1720828384720	1720828385008	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385008
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385008
USER	Task API Test	END	1720828385009
USER	Task API Test	START	1720828385009
REQUEST		POST task	1720828384071	1720828385011	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385011
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385011
USER	Task API Test	END	1720828385012
USER	Task API Test	START	1720828385012
REQUEST		POST task	1720828384017	1720828385026	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385027
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385027
USER	Task API Test	END	1720828385027
USER	Task API Test	START	1720828385028
REQUEST		POST task	1720828384091	1720828385115	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385115
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385115
USER	Task API Test	END	1720828385115
USER	Task API Test	START	1720828385116
REQUEST		POST task	1720828384098	1720828385121	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385121
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385121
USER	Task API Test	END	1720828385121
USER	Task API Test	START	1720828385122
REQUEST		POST task	1720828384889	1720828385170	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385171
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385171
USER	Task API Test	END	1720828385171
USER	Task API Test	START	1720828385172
REQUEST		POST task	1720828384238	1720828385183	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385183
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385183
USER	Task API Test	END	1720828385184
USER	Task API Test	START	1720828385184
REQUEST		POST task	1720828384906	1720828385198	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385199
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385199
USER	Task API Test	END	1720828385199
USER	Task API Test	START	1720828385200
REQUEST		POST task	1720828385012	1720828385296	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385296
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385296
USER	Task API Test	END	1720828385297
USER	Task API Test	START	1720828385297
REQUEST		POST task	1720828385009	1720828385304	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385304
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385304
USER	Task API Test	END	1720828385304
USER	Task API Test	START	1720828385305
REQUEST		POST task	1720828385027	1720828385319	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385320
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385320
USER	Task API Test	END	1720828385320
USER	Task API Test	START	1720828385320
REQUEST		POST task	1720828385122	1720828385421	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385421
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385421
USER	Task API Test	END	1720828385422
USER	Task API Test	START	1720828385422
REQUEST		POST task	1720828385171	1720828385452	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385453
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385453
USER	Task API Test	END	1720828385453
USER	Task API Test	START	1720828385453
REQUEST		POST task	1720828385184	1720828385456	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385456
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385456
USER	Task API Test	END	1720828385456
USER	Task API Test	START	1720828385457
REQUEST		POST task	1720828385199	1720828385482	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385482
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385482
USER	Task API Test	END	1720828385483
USER	Task API Test	START	1720828385483
REQUEST		POST task	1720828385297	1720828385590	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385591
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385591
USER	Task API Test	END	1720828385591
USER	Task API Test	START	1720828385592
REQUEST		POST task	1720828385304	1720828385597	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385597
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385597
USER	Task API Test	END	1720828385598
USER	Task API Test	START	1720828385598
REQUEST		POST task	1720828385320	1720828385619	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385620
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385620
USER	Task API Test	END	1720828385620
USER	Task API Test	START	1720828385621
REQUEST		POST task	1720828385422	1720828385706	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385706
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385706
USER	Task API Test	END	1720828385707
USER	Task API Test	START	1720828385707
REQUEST		POST task	1720828384714	1720828385709	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720828385709
ERROR	GET task: No attribute named 'thiis' is defined 	1720828385709
USER	Task API Test	END	1720828385709
USER	Task API Test	START	1720828385710
